num_leaves,n_estimators,Score
2,10,0.578881
2,20,0.525538
2,30,0.495441
2,40,0.476148
2,50,0.462957
2,60,0.453743
2,70,0.447239
2,80,0.442435
2,90,0.439148
2,100,0.436285
2,110,0.433802
2,120,0.431794
2,130,0.430201
2,140,0.428636
2,150,0.42752
2,160,0.426345
2,170,0.42534
2,180,0.424334
2,190,0.423416
2,200,0.422584
2,210,0.42201
2,220,0.421469
2,230,0.42095
2,240,0.420543
2,250,0.420091
2,260,0.419628
2,270,0.419228
2,280,0.418836
2,290,0.418539
2,300,0.418318
2,310,0.418026
2,320,0.417753
2,330,0.417425
2,340,0.41724
2,350,0.417025
2,360,0.416794
2,370,0.416671
2,380,0.416502
2,390,0.416335
2,400,0.416194
2,410,0.416057
2,420,0.415916
2,430,0.415828
2,440,0.415712
2,450,0.415611
2,460,0.41548
2,470,0.415405
2,480,0.415394
2,490,0.415266
2,500,0.415224
2,510,0.415155
2,520,0.41514
2,530,0.41504
2,540,0.414992
2,550,0.414942
2,560,0.414872
2,570,0.414846
2,580,0.414727
2,590,0.414673
2,600,0.414633
2,610,0.414547
2,620,0.414492
2,630,0.414478
2,640,0.414456
2,650,0.414347
2,660,0.414323
2,670,0.41428
2,680,0.414269
2,690,0.414198
2,700,0.414165
2,710,0.414125
2,720,0.414064
2,730,0.414055
2,740,0.414027
2,750,0.413976
2,760,0.413991
2,770,0.41399
2,780,0.413936
2,790,0.413888
2,800,0.413869
2,810,0.413852
2,820,0.413825
2,830,0.413844
2,840,0.413828
2,850,0.413807
2,860,0.413794
2,870,0.413743
2,880,0.413762
2,890,0.413777
2,900,0.413759
2,910,0.413796
2,920,0.41373
2,930,0.413721
2,940,0.413712
2,950,0.413719
4,240,0.414592
16,100,0.417504
