Feature Name,Relative Importance
tenure,1.0
Contract,0.35477401172291445
InternetService,0.1945540148052002
MonthlyCharges,0.16704675436095762
TotalCharges,0.15363941577450382
TechSupport,0.07419450416489494
PaymentMethod,0.052116559174442044
OnlineSecurity,0.03906706112718576
StreamingMovies,0.033861996743147105
MultipleLines,0.027335726040644513
PaperlessBilling,0.02622483283131865
Dependents,0.009706869279067979
OnlineBackup,0.00621967410082313
Partner,0.005360583125916272
PhoneService,0.005045288555746805
StreamingTV,0.0028790374650862066
DeviceProtection,0.002060367335159482
SeniorCitizen,0.0012453338760639381
gender,0.00020849513440438435
