"Sum of Frequencies","Depth","Best Cumulative Captured Response Percentage","Formatted Partition","Analysis Variable","Best Captured Response Percentage","Data Role","Cumulative Captured Response Percentage","Event","Target Name","Best Number of Events","Value","Number of Events","Partition Indicator","Captured Response Percentage","Best Response Percentage","Gain","Cumulative Lift","Response Percentage","Best Gain","Best Cumulative Lift","Lift","Cumulative Response Percentage","Best Cumulative Response Percentage","Best Lift",
"0","0","0","           0","P_churn1","0","VALIDATE","0","1","churn","0","0","0","0","0"," "," "," "," "," "," "," "," "," "," ",
"849","5","41.2336085478","           0","P_churn1","41.2336085478","VALIDATE","40.7965031569","1","churn","849","0.865125535433","840","0","40.7965031569","100","7.15930063137","8.15930063137","98.9399293286","7.24672170957","8.24672170957","8.15930063137","98.9399293286","100","8.24672170957",
"849","10","82.4672170957","           0","P_churn1","41.2336085478","VALIDATE","61.6804273919","1","churn","849","0.220656735123","430","0","20.8839242351","100","5.16804273919","6.16804273919","50.6478209658","7.24672170957","8.24672170957","4.17678484701","74.7938751472","100","8.24672170957",
"849","15","100","           0","P_churn1","17.5327829043","VALIDATE","65.6629431763","1","churn","361","0.104257359506","82","0","3.98251578436","42.5206124853","3.37752954509","4.37752954509","9.65842167256","5.66666666667","6.66666666667","0.796503156872","53.0820573223","80.8402041618","3.50655658086",
"848","20","100","           0","P_churn1","0","VALIDATE","68.0427391938","1","churn","0","0.0804997133197","49","0","2.37979601748","0","2.40213695969","3.40213695969","5.77830188679","4","5","0.475959203497","41.2665684831","60.648011782","0",
"848","25","100","           0","P_churn1","0","VALIDATE","70.2282661486","1","churn","0","0.0695136884048","45","0","2.18552695483","0","1.80913064594","2.80913064594","5.30660377358","3","4","0.437105390966","34.0796606175","48.5269856234","0",
"849","30","100","           0","P_churn1","0","VALIDATE","72.1223895095","1","churn","0","0.0630433209917","39","0","1.89412336085","0","1.40407965032","2.40407965032","4.59363957597","2.33333333333","3.33333333333","0.378824672171","29.1633935585","40.4359780047","0",
"848","35","100","           0","P_churn1","0","VALIDATE","74.0165128703","1","churn","0","0.0581341920534","39","0","1.89412336085","0","1.11475751058","2.11475751058","4.59905660377","1.85714285714","2.85714285714","0.378824672171","25.6565656566","34.6632996633","0",
"848","40","100","           0","P_churn1","0","VALIDATE","75.9592034968","1","churn","0","0.0544009454853","40","0","1.94269062652","0","0.898980087421","1.89898008742","4.71698113208","1.5","2.5","0.388538125304","23.0406599882","30.3329404832","0",
"849","45","100","           0","P_churn1","0","VALIDATE","78.4847013113","1","churn","0","0.0512164264919","52","0","2.52549781447","0","0.744104473585","1.74410447358","6.12485276796","1.22222222222","2.22222222222","0.505099562895","21.1601414168","26.9608485007","0",
"848","50","100","           0","P_churn1","0","VALIDATE","80.1359883439","1","churn","0","0.0485694371196","34","0","1.65128703254","0","0.602719766877","1.60271976688","4.00943396226","1","2","0.330257406508","19.44608132","24.2663523866","0",
"848","55","100","           0","P_churn1","0","VALIDATE","82.2243807674","1","churn","0","0.0463441375644","43","0","2.08839242351","0","0.494988741225","1.49498874122","5.07075471698","0.818181818182","1.81818181818","0.417678484701","18.1399335691","22.0615021965","0",
"849","60","100","           0","P_churn1","0","VALIDATE","84.5070422535","1","churn","0","0.0442922517317","47","0","2.28266148616","0","0.408450704225","1.40845070423","5.5359246172","0.666666666667","1.66666666667","0.456532297232","17.0889805539","20.2219603221","0",
"848","65","100","           0","P_churn1","0","VALIDATE","86.2554638174","1","churn","0","0.0423580382418","36","0","1.74842156387","0","0.327007135652","1.32700713565","4.24528301887","0.538461538462","1.53846153846","0.349684312773","16.1015412511","18.6672710789","0",
"848","70","100","           0","P_churn1","0","VALIDATE","88.4895580379","1","churn","0","0.040383301153","46","0","2.2340942205","0","0.264136543398","1.2641365434","5.42452830189","0.428571428571","1.42857142857","0.446818844099","15.3392827075","17.3345681091","0",
"849","75","100","           0","P_churn1","0","VALIDATE","90.6265177271","1","churn","0","0.0383188076859","44","0","2.13695968917","0","0.208353569694","1.20835356969","5.18256772674","0.333333333333","1.33333333333","0.427391937834","14.6617427516","16.1782038187","0",
"848","80","100","           0","P_churn1","0","VALIDATE","92.4235065566","1","churn","0","0.0362381581312","37","0","1.79698882953","0","0.155293831957","1.15529383196","4.36320754717","0.25","1.25","0.359397765906","14.0184162063","15.167587477","0",
"848","85","100","           0","P_churn1","0","VALIDATE","94.3661971831","1","churn","0","0.0339026162953","40","0","1.94269062652","0","0.110190555095","1.1101905551","4.71698113208","0.176470588235","1.17647058824","0.388538125304","13.4715385149","14.275809471","0",
"849","90","100","           0","P_churn1","0","VALIDATE","96.0660514813","1","churn","0","0.0310361007772","35","0","1.6998542982","0","0.0674005720145","1.06740057201","4.12249705536","0.111111111111","1.11111111111","0.339970859641","12.9518072289","13.4821896281","0",
"848","95","100","           0","P_churn1","0","VALIDATE","97.9601748422","1","churn","0","0.0273687683211","39","0","1.89412336085","0","0.0311597351806","1.03115973518","4.59905660377","0.0526315789474","1.05263157895","0.378824672171","12.5124069479","12.7729528536","0",
"847","100","100","           0","P_churn1","0","VALIDATE","100","1","churn","0","0.0109872822193","42","0","2.03982515784","0","0","1","4.95867768595","0","1","0.407965031569","12.1353215065","12.1353215065","0",
"0","0","0","           1","P_churn1","0","TRAIN","0","1","churn","0","0","0","1","0"," "," "," "," "," "," "," "," "," "," ",
"1980","5","41.2242348532","           1","P_churn1","41.2242348532","TRAIN","41.0784926088","1","churn","1980","0.872907878846","1973","1","41.0784926088","100","7.21569852176","8.21569852176","99.6464646465","7.24484697064","8.24484697064","8.21569852176","99.6464646465","100","8.24484697064",
"1980","10","82.4484697064","           1","P_churn1","41.2242348532","TRAIN","64.7928378097","1","churn","1980","0.211580456768","1139","1","23.7143452009","100","5.47928378097","6.47928378097","57.5252525253","7.24484697064","8.24484697064","4.74286904018","78.5858585859","100","8.24484697064",
"1980","15","100","           1","P_churn1","17.5515302936","TRAIN","74.7657713929","1","churn","843","0.106198582528","479","1","9.97293358318","42.5757575758","3.98438475953","4.98438475953","24.1919191919","5.66666666667","6.66666666667","1.99458671664","60.4545454545","80.8585858586","3.51030605871",
"1979","20","100","           1","P_churn1","0","TRAIN","81.4282739954","1","churn","0","0.0809685522986","320","1","6.66250260254","0","3.07141369977","4.07141369977","16.1697827185","4","5","1.33250052051","49.3875489329","60.6515974239","0",
"1980","25","100","           1","P_churn1","0","TRAIN","84.967728503","1","churn","0","0.0695331191026","170","1","3.5394545076","0","2.39870914012","3.39870914012","8.58585858586","3","4","0.70789090152","41.2263865037","48.5200525306","0",
"1979","30","100","           1","P_churn1","0","TRAIN","88.2156985218","1","churn","0","0.0625505474596","156","1","3.24797001874","0","1.94052328406","2.94052328406","7.88276907529","2.33333333333","3.33333333333","0.649594003748","35.6709883819","40.4361003536","0",
"1980","35","100","           1","P_churn1","0","TRAIN","90.6933166771","1","churn","0","0.0576088548202","119","1","2.47761815532","0","1.59123761935","2.59123761935","6.0101010101","1.85714285714","2.85714285714","0.495523631064","31.4331072305","34.6586809063","0",
"1979","40","100","           1","P_churn1","0","TRAIN","92.6504268166","1","churn","0","0.0538403634939","94","1","1.9571101395","0","1.31626067041","2.31626067041","4.74987367357","1.5","2.5","0.391422027899","28.0987560775","30.3277135821","0",
"1980","45","100","           1","P_churn1","0","TRAIN","94.211950864","1","churn","0","0.0508054191873","75","1","1.56152404747","0","1.09359890809","2.09359890809","3.78787878788","1.22222222222","2.22222222222","0.312304809494","25.3970926643","26.9574002357","0",
"1979","50","100","           1","P_churn1","0","TRAIN","95.3987091401","1","churn","0","0.0482687643213","57","1","1.18675827608","0","0.907974182802","1.9079741828","2.88024254674","1","2","0.237351655215","23.1460901192","24.2624772681","0",
"1980","55","100","           1","P_churn1","0","TRAIN","96.7312096606","1","churn","0","0.0460257904396","64","1","1.33250052051","0","0.758749266557","1.75874926656","3.23232323232","0.818181818182","1.81818181818","0.266500104102","21.3354151359","22.0563923586","0",
"1979","60","100","           1","P_churn1","0","TRAIN","97.4807412034","1","churn","0","0.04390564803","36","1","0.749531542786","0","0.624679020057","1.62467902006","1.81910055584","0.666666666667","1.66666666667","0.149906308557","19.7095348348","20.2189012839","0",
"1981","65","100","           1","P_churn1","0","TRAIN","98.0220695399","1","churn","0","0.0418675668062","26","1","0.541328336456","0","0.508031839075","1.50803183907","1.31246845028","0.538461538462","1.53846153846","0.108265667291","18.2934410942","18.6625738265","0",
"1978","70","100","           1","P_churn1","0","TRAIN","98.6674994795","1","churn","0","0.03988410246","31","1","0.645429939621","0","0.40953570685","1.40953570685","1.567239636","0.428571428571","1.42857142857","0.129085987924","17.0996608212","17.330591037","0",
"1980","75","100","           1","P_churn1","0","TRAIN","99.0839058922","1","churn","0","0.0378331899618","20","1","0.416406412659","0","0.321118745229","1.32111874523","1.0101010101","0.333333333333","1.33333333333","0.0832812825318","16.0268067623","16.1749848454","0",
"1979","80","100","           1","P_churn1","0","TRAIN","99.3337497397","1","churn","0","0.0357085121382","12","1","0.249843847595","0","0.241671871747","1.24167187175","0.606366851945","0.25","1.25","0.0499687695191","15.0633031288","15.1643355539","0",
"1980","85","100","           1","P_churn1","0","TRAIN","99.6876951905","1","churn","0","0.0333777318255","17","1","0.35394545076","0","0.172796414006","1.17279641401","0.858585858586","0.176470588235","1.17647058824","0.070789090152","14.2275577215","14.2721302707","0",
"1979","90","100","           1","P_churn1","0","TRAIN","99.9375390381","1","churn","0","0.0305482763189","12","1","0.249843847595","0","0.110417100423","1.11041710042","0.606366851945","0.111111111111","1.11111111111","0.0499687695191","13.4710372699","13.4794566682","0",
"1980","95","100","           1","P_churn1","0","TRAIN","100","1","churn","0","0.0265218021362","3","1","0.0624609618988","0","0.0526315789474","1.05263157895","0.151515151515","0.0526315789474","1.05263157895","0.0124921923798","12.7698606828","12.7698606828","0",
"1978","100","100","           1","P_churn1","0","TRAIN","100","1","churn","0","0.0101898533584","0","1","0","0","0","1","0","0","1","0","12.1318514776","12.1318514776","0",
