"Variable","Relative Importance",
"Consecutive Mths Delinquent","0.0775641790866",
"Open Work Orders","0.0874673713734",
"Imputed Replacement: Minutes On Network Pct Change Month over Month","0.125351219999",
"Imputed Replacement: 6M Avg Billed Data Usage Normally Distributed","0.175493525687",
"Days of Open Work Orders","0.19878576443",
"Delinquent Indicator","0.202032473214",
"Replacement: MB Data Usage Roam 3 Mths Prior","0.245212626863",
"Number of Times Suspended","0.374555421587",
"Replacement: Total Calls Curr","0.405931010186",
"Total Late Payments Lifetime","0.424417130163",
"Transformed MB of Data Usage Month 6","0.476257131168",
"Days Suspended Last 6M","0.66994570075",
"Total Days Over Plan","0.944723413539",
"Handset Age Group","1",
