"Data Role","Target","Cutoff","Predicted Outcome","Status","Count","Target Name","Predicted Outcome (Event/NonEvent)","Percent","Cutoff Source","Target (Event/NonEvent)",
"TRAIN","0","0.1","0","Correct","32178","churn","NEvent","92.5000718659","KS","NEvent",
"TRAIN","0","0.5","0","Correct","34627","churn","NEvent","99.5400580677","Default","NEvent",
"VALIDATE","0","0.25","0","Correct","14541","churn","NEvent","97.538234505","KS","NEvent",
"VALIDATE","0","0.5","0","Correct","14797","churn","NEvent","99.2554333244","Default","NEvent",
"TRAIN","1","0.1","1","Correct","3655","churn","Event","76.0982719134","KS","Event",
"TRAIN","1","0.5","1","Correct","2738","churn","Event","57.006037893","Default","Event",
"VALIDATE","1","0.25","1","Correct","1260","churn","Event","61.1947547353","KS","Event",
"VALIDATE","1","0.5","1","Correct","1129","churn","Event","54.8324429335","Default","Event",
"TRAIN","0","0.1","1","Incorrect","2609","churn","Event","7.49992813407","KS","NEvent",
"TRAIN","0","0.5","1","Incorrect","160","churn","Event","0.459941932331","Default","NEvent",
"VALIDATE","0","0.25","1","Incorrect","367","churn","Event","2.46176549504","KS","NEvent",
"VALIDATE","0","0.5","1","Incorrect","111","churn","Event","0.74456667561","Default","NEvent",
"TRAIN","1","0.1","0","Incorrect","1148","churn","NEvent","23.9017280866","KS","Event",
"TRAIN","1","0.5","0","Incorrect","2065","churn","NEvent","42.993962107","Default","Event",
"VALIDATE","1","0.25","0","Incorrect","799","churn","NEvent","38.8052452647","KS","Event",
"VALIDATE","1","0.5","0","Incorrect","930","churn","NEvent","45.1675570665","Default","Event",
